Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Israel/2089852/2020	Jerusalem District	Jerusalem District	EPI_ISL_447362	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2047586/2020	North District	North District	EPI_ISL_447389	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Senegal/003/2020	Africa	Africa	EPI_ISL_418206	Institut Pasteur Dakar	Africa	Africa	Institut Pasteur de Dakar	Ndongo Dia et al
Beijing/DT-travelUSA02/2020	Beijing	North America	EPI_ISL_452338	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelAT01/2020	Beijing	Europe	EPI_ISL_452327	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelFR01/2020	Beijing	North America	EPI_ISL_452330	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Israel/2046434/2020	North District	North District	EPI_ISL_447404	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Algeria/G0860_2262/2020	Africa	Africa	EPI_ISL_420037	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	Africa	Africa	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al B
Algeria/G0638_2264/2020	Africa	Africa	EPI_ISL_418241	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	Africa	Africa	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al B
Algeria/G0640_2265/2020	Africa	Africa	EPI_ISL_418242	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	Africa	Africa	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al B
Belgium/BA-02291/2020	Europe	Europe	EPI_ISL_415159	KU Leuven, Clinical and Epidemiological Virology	Europe	Europe	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
Vietnam/VNHN_1072/2020	Red River Delta	Red River Delta	EPI_ISL_455717	National Hospital of Tropical Diseases	Asia	Asia	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Belgium/BM-0327320/2020	Europe	Europe	EPI_ISL_462174	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Europe	Europe	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
Belgium/BA-0326323/2020	Europe	Europe	EPI_ISL_462177	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Europe	Europe	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
Morocco/6901/2020	Africa	Africa	EPI_ISL_459979	Institut Pasteur du Maroc	Africa	Africa	Institut Pasteur du Maroc	Marion Barbet et al
Vietnam/VNHN_979/2020	Red River Delta	Red River Delta	EPI_ISL_455716	National Hospital of Tropical Diseases	Asia	Asia	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Kenya/D5/2020	Africa	Africa	EPI_ISL_457999		Africa	Africa	Centre For Biotechnology Research and Development	Matoke-Muhia et al
Belgium/ULG-6939/2020	Europe	Europe	EPI_ISL_417020	Department of Clinical Microbiology	Europe	Europe	GIGA Medical Genomics	Durkin Keith et al (https://dx.doi.org/10.1101/2020.05.05.078758)
Belgium/ULG-10078/2020	Europe	Europe	EPI_ISL_424637	Department of Clinical Microbiology	Europe	Europe	GIGA Medical Genomics	Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)
Taiwan/107/2020	Taiwan	Taiwan	EPI_ISL_420085	Centers for Disease Control, R.O.C. (Taiwan)	Asia	Asia	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A
Thailand/Nonthaburi_2982/2020	Nonthaburi	Nonthaburi	EPI_ISL_455583	Central Chest Institute of Thailand	Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/NIH-2982-2/2020	Thailand	Thailand	EPI_ISL_434708		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/Nonthaburi_2983/2020	Nonthaburi	Nonthaburi	EPI_ISL_455594	Central Chest Institute of Thailand	Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/NIH-2982/2020	Nonthaburi	Nonthaburi	EPI_ISL_430842	Central chest Institute of Thailand	Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/Bangkok-0021/2020	Bangkok	Bangkok	EPI_ISL_423042	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Israel/2089712/2020	Jerusalem District	Jerusalem District	EPI_ISL_447367	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2099019/2020	Jerusalem District	Jerusalem District	EPI_ISL_447357	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2086001/2020	Jerusalem District	Jerusalem District	EPI_ISL_447382	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002314/2020	South Coast District	South Coast District	EPI_ISL_447309	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002327/2020	South Coast District	South Coast District	EPI_ISL_447307	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089366/2020	Jerusalem District	Jerusalem District	EPI_ISL_447374	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2099416/2020	Jerusalem District	Jerusalem District	EPI_ISL_447354	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2020063/2020	Jerusalem District	Jerusalem District	EPI_ISL_447414	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089375/2020	Jerusalem District	Jerusalem District	EPI_ISL_447372	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059230/2020	South Coast District	South Coast District	EPI_ISL_447276	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059231/2020	South Coast District	South Coast District	EPI_ISL_447275	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059232/2020	South Coast District	South Coast District	EPI_ISL_447274	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2020038/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447416	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
NanChang/JX216/2020	Jiangxi	Jiangxi	EPI_ISL_417420	Jiangxi province Center for Disease Control and Prevention	Asia	Asia	Jiangxi province Center for Disease Control and Prevention	Li jian Xiong et al
Israel/2046614/2020	North District	North District	EPI_ISL_447402	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2046616/2020	North District	North District	EPI_ISL_447401	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2115964/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447338	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077823/2020	South Coast District	South Coast District	EPI_ISL_447424	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089380/2020	Jerusalem District	Jerusalem District	EPI_ISL_447371	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Taiwan/TSGH-08/2020	Keelung	Keelung	EPI_ISL_427395	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
USA/NY-NYUMC659/2020	North America	North America	EPI_ISL_444776	NYU Langone Health	North America	North America	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al A
Israel/2046129/2020	North District	North District	EPI_ISL_447406	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2047738/2020	North District	North District	EPI_ISL_447387	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Kazakhstan/20679/2020	Nur-Sultan	Nur-Sultan	EPI_ISL_454501	RSE "National Center for Biotechnology"	Asia	Asia	RSE "National Center for Biotechnology"	Alexandr Shevtsov et al
Kazakhstan/33496/2020	Nur-Sultan	Nur-Sultan	EPI_ISL_454585	Laboratory of virology, National Center of Expertise	Asia	Asia	Laboratory of molecular-genetic research, National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan	Abdaliyev Askar et al
Kazakhstan/38716/2020	Nur-Sultan	Nur-Sultan	EPI_ISL_454575	Laboratory of virology, National Center of Expertise	Asia	Asia	Laboratory of molecular-genetic research, National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan	Abdaliyev Askar et al
Israel/2099159/2020	Jerusalem District	Jerusalem District	EPI_ISL_447356	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2086004/2020	Jerusalem District	Jerusalem District	EPI_ISL_447381	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2115980/2020	North District	North District	EPI_ISL_447335	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/51146669/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447312	Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990300860/2020	South Coast District	South Coast District	EPI_ISL_447264	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990307712/2020	South Coast District	South Coast District	EPI_ISL_447263	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2047749/2020	North District	North District	EPI_ISL_447386	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13075832/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447444	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2113155/2020	Jerusalem District	Jerusalem District	EPI_ISL_447349	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2107137/2020	Jerusalem District	Jerusalem District	EPI_ISL_447351	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2113678/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447340	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077511/2020	Jerusalem District	Jerusalem District	EPI_ISL_447433	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077510/2020	Jerusalem District	Jerusalem District	EPI_ISL_447434	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077846/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447422	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077847/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447421	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Argentina/PAIS_A025/2020	South America	South America	EPI_ISL_430816	Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	South America	South America	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
Jamaica/JM-CDC-6729/2020	North America	North America	EPI_ISL_450798	Jamaica Ministry of Health and Wellness	North America	North America	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
Israel/2099018/2020	Jerusalem District	Jerusalem District	EPI_ISL_447358	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
USA/NY-NYUMC193/2020	North America	North America	EPI_ISL_427488	NYU Langone Health	North America	North America	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
Israel/13077875/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447420	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2113161/2020	Jerusalem District	Jerusalem District	EPI_ISL_447348	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077564/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447429	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Argentina/PAIS_A006/2020	South America	South America	EPI_ISL_430798	Departamento de Biología y genética molecular, IACA Laboratorios.	South America	South America	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
Israel/13077413/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447438	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089723/2020	Jerusalem District	Jerusalem District	EPI_ISL_447365	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/130711367/2020	North District	North District	EPI_ISL_447452	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2113256/2020	Jerusalem District	Jerusalem District	EPI_ISL_447343	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002768/2020	South Coast District	South Coast District	EPI_ISL_447283	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002792/2020	South Coast District	South Coast District	EPI_ISL_447281	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002786/2020	South Coast District	South Coast District	EPI_ISL_447282	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002555/2020	South Coast District	South Coast District	EPI_ISL_447290	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002666/2020	South Coast District	South Coast District	EPI_ISL_447286	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059203/2020	South Coast District	South Coast District	EPI_ISL_447279	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Taiwan/NTU24/2020	Taiwan	North America	EPI_ISL_447618	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	North America	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
Israel/2113601/2020	Jerusalem District	Jerusalem District	EPI_ISL_447342	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Oman/205024076/2020	Muscat	Muscat	EPI_ISL_457707	Oman-NIC	Asia	Asia	Department of Microbiology and Immunology- SQUH	Fahad Zadjali et al
Mexico/CDMX-InDRE_10/2020	North America	South America	EPI_ISL_455434	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	North America	South America	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al
Israel/2089697/2020	Jerusalem District	Jerusalem District	EPI_ISL_447369	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/51146500/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447314	Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/1639953/2020	North District	North District	EPI_ISL_447418	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077726/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447426	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077498/2020	South Coast District	South Coast District	EPI_ISL_447435	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077882/2020	Jerusalem District	Jerusalem District	EPI_ISL_447419	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2086022/2020	Jerusalem District	Jerusalem District	EPI_ISL_447378	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2020084/2020	Jerusalem District	Jerusalem District	EPI_ISL_447410	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2113255/2020	Jerusalem District	Jerusalem District	EPI_ISL_447344	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077803/2020	South Coast District	South Coast District	EPI_ISL_447425	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2099251/2020	Jerusalem District	Jerusalem District	EPI_ISL_447355	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Russia/StPetersburg-RII4386V/2020	Europe	Europe	EPI_ISL_427312	WHO National Influenza Centre Russian Federation	Europe	Europe	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Israel/13075790/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447445	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089839/2020	Jerusalem District	Jerusalem District	EPI_ISL_447363	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Fujian/IM3520001T/2020	Fujian	Fujian	EPI_ISL_431118	Fujian Center for Disease Control and Prevention	Asia	Asia	Fujian Center for Disease Control and Prevention	Lin Qi et al
Israel/51146503/2020	Jerusalem District	Jerusalem District	EPI_ISL_447313	Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/1639996/2020	North District	North District	EPI_ISL_447417	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2047364/2020	North District	North District	EPI_ISL_447393	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
USA/NY-NYUMC228/2020	North America	North America	EPI_ISL_427628	NYU Langone Health	North America	North America	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
UnitedArabEmirates/L1758/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435129	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Norway/1917/2020	Europe	Europe	EPI_ISL_420143	Unilabs Laboratory Medicine	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Israel/701002550/2020	South Coast District	South Coast District	EPI_ISL_447291	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2047011/2020	North District	North District	EPI_ISL_447398	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Thailand/Bangkok-0042/2020	Bangkok	Bangkok	EPI_ISL_429178	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Israel/701002556/2020	South Coast District	South Coast District	EPI_ISL_447289	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
USA/NE-10882/2020	North America	North America	EPI_ISL_466666	Nebraska Public Health Laboratory	North America	North America	UNMC COVID-19 Response Team	UNMC COVID-19 Response Team et al
Fujian/IM3520010T/2020	Fujian	Fujian	EPI_ISL_431780	Fujian Center for Disease Control and Prevention	Asia	Asia	Fujian Center for Disease Control and Prevention	Lin Qi et al
Taiwan/CGMH-CGU-14/2020	Taiwan	Taiwan	EPI_ISL_424970	Laboratory Medicine	Asia	Asia	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Israel/2023920/2020	Jerusalem District	Jerusalem District	EPI_ISL_447408	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Singapore/143/2020	Singapore	Singapore	EPI_ISL_443235	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Israel/13077497/2020	South Coast District	South Coast District	EPI_ISL_447436	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Vietnam/HCMC-35020/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450744	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
Israel/51146683/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447311	Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
tiger/USA/NY-040420/2020	North America	North America	EPI_ISL_420293	Wildlife Conservation Society, Bronx Zoo	North America	North America	Diagnostic Virology Laboratory, United States Department of Agriculture, National Veterinary Services Laboratories	Patrick K. Mitchell et al (https://dx.doi.org/10.1016/j.onehlt.2020.100133)
Israel/990300691/2020	South Coast District	South Coast District	EPI_ISL_447266	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
